gate_id,claim_or_lock,manuscript_location,decision_ids,evidence,verification,claim_limit,status
V20-G01,Canonical cohort contains 72 checkpoints.,Abstract; checkpoint cohort; conclusion,canonical cohort lock,analysis/canonical_cohorts/reference_outputs/seed_level_nauc_v18.csv; analysis/cross_cohort/reference_bundle/v19_support_aware_seed_level_nauc.csv,48 ViT-B rows plus 24 ViT-S rows = 72.,Auxiliary 18-checkpoint ViT-S AMP cohort is separate.,PASS
V20-G02,Noise-minus-adversarial nAUC gap is positive for every canonical seed/family/cohort.,Abstract; results; discussion; conclusion,canonical support-aware analysis,analysis/canonical_cohorts/reference_outputs/seed_level_nauc_v18.csv; analysis/cross_cohort/reference_bundle/v19_support_aware_seed_level_nauc.csv,48/48 ViT-B plus 24/24 ViT-S positive.,Cohort-specific locked support; not a universal theorem.,PASS
V20-G03,Within-ViT-S rankings are preserved; formal rho50 equivalence holds only for Sinusoidal.,Abstract; training-regime comparison; discussion,precision-bridge lock,analysis/precision_bridge/reference_outputs/D029_ANALYSIS_SUMMARY_v1.json,Learned/RoPE INCONCLUSIVE; Sinusoidal EQUIVALENT; rank order preserved.,No general precision-invariance or strict-pair claim.,PASS
V20-G04,AMP-matched architecture effect is PE-dependent and reverses Learned-RoPE ordering.,Abstract; AMP-matched section; discussion; conclusion,AMP-matched analysis,analysis/cross_architecture/reference_outputs/D059_ANALYSIS_SUMMARY_v2.json; analysis/cross_architecture/reference_outputs/D059_ATTACK_MAIN_TABLE_v2.csv,Exact Friedman p=0.0289352; order reversal reproduced.,Two backbones and three shared families only.,PASS
V20-G05,Per-family sign-flip values are secondary because n=6 gives 2/64 resolution.,AMP-matched section; discussion,exact-test interpretation,analysis/cross_architecture/reference_outputs/D059_ATTACK_MAIN_TABLE_v2.csv,Learned and Sinusoidal p=.03125; RoPE p=.0625.,Do not treat adjacent attainable rungs as finely resolved evidence.,PASS
V20-G06,Welch sensitivity agrees with seed-aligned intervals.,Methods; Supplement S1; discussion,Welch sensitivity,analysis/cross_architecture/reference_outputs/D059_WELCH_SENSITIVITY_v2.csv,All three adversarial Welch upper bounds remain below zero.,Does not establish strict paired training.,PASS
V20-G07,ViT-S AMP--FP16 ALiBi is excluded as a trainability boundary.,Abstract; AMP-matched section; limitations,historical trainability governance,audit/trainability_boundary_governance.json; configs/cohorts.json; analysis/cross_architecture/README.md; checkpoints/vits_amp/README.md,Cohort-level boundary only; 18-row AMP manifest contains Learned/Sinusoidal/RoPE and no ALiBi; repository-wide Markdown guard rejects exact per-seed overclaims.,No exact per-seed failure count without raw training logs.,PASS
V20-G08,All-restart audit rules out restart selection as the task-loss-frontier explanation.,Abstract; objective audits; conclusion,all-restart audit,data/objective_specific/all_restart_audit/FINAL_AUDIT_REPORT_v1.json; data/objective_specific/all_restart_audit/PER_RESTART_RESULTS_v1.csv; data/objective_specific/all_restart_audit/POINT_SELECTION_SUMMARY_v1.csv,240/240 restarts and 48/48 points complete.,"Task-loss frontier, never structural ceiling or supremum.",PASS
V20-G09,Direct-displacement audit demonstrates displacement-damage inversion at budget 0.0095.,Abstract; objective comparison table; discussion,direct-displacement audit,data/objective_specific/direct_displacement/D020_VITS_FORMAL_CENTRAL_ENDPOINT_v1.json; manuscript/tables/table_objective_comparison.tex,Calibration rho=.102088 and accuracy=76.703% versus task-loss rho=.093797 and accuracy=7.361%.,ViT-S FP32 Sinusoidal seed 42 only; calibration-split rho is reported.,PASS
V20-G10,"Direct-displacement 200x5 lock concerns the best-of-five envelope, not every restart.",Objective audits; limitations,direct-displacement convergence,data/objective_specific/direct_displacement/FORMAL_CONVERGENCE_RESULT.json; data/objective_specific/direct_displacement/D020_VITS_FORMAL_AUDIT_v1.json,Schedule-level best-of-five stability passes; at budget 0.020 paired restart 2 changes normalized accuracy 0.66898 -> 0.60212 while the selected envelope changes only 0.000365.,No search exhaustion or all-restart convergence claim.,PASS
V20-G11,Layerwise analysis reports objective-dependent redistribution.,Layerwise subsection; discussion,layerwise audit,data/objective_specific/layerwise/layerwise_point_metrics.csv; manuscript/figures/fig_layerwise_displacement_profiles.pdf,"Effective-layer counts, dominant layers, and profile cosines match manuscript.",No head/token localization or causal mechanism.,PASS
V20-G12,Primary canonical AUC uses prelocked native-budget grids.,Methods; cross-cohort section; figure caption; discussion,support policy,analysis/cross_cohort/reference_bundle/V19_SUPPORT_AWARE_BUILD_REPORT.json; analysis/cross_cohort/build_postlock_grid_sensitivity.py,Primary builders exclude post-lock budget 0.020 and direct-rho points; sensitivity is separate.,Exclusion is by prelocked grid for the task-loss audit and by different objective for direct-rho.,PASS
V20-G13,Forbidden-formulation audit passes final main and supplement.,Entire main and supplement,claim-language policy,audit/final_claim_language_audit.md; manuscript/FINAL_CLEAN_SOURCE_QA.json,No internal D-codes or prohibited overclaims in reviewer-facing sources.,Boundary and negative wording retained where required.,PASS
